버스_id,출발시간,도착시간,출발정류장,도착정류장,lat_x,lon_x,lat_y,lon_y,type
1,6:33,6:35:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
1,6:35:36,6:43:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
1,6:43:12,6:58:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
1,6:58:02,7:05:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
2,6:39,6:41:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
2,6:41:36,6:49:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
2,6:49:12,7:04:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
2,7:04:02,7:11:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
3,6:48,6:50:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
3,6:50:36,6:58:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
3,6:58:12,7:13:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
3,7:13:02,7:20:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
4,6:54,6:56:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
4,6:56:36,7:04:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
4,7:04:12,7:19:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
4,7:19:02,7:26:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
5,7:03,7:05:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
5,7:05:36,7:13:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
5,7:13:12,7:28:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
5,7:28:02,7:35:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
6,7:09,7:11:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
6,7:11:36,7:19:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
6,7:19:12,7:34:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
6,7:34:02,7:41:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
7,7:18,7:20:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
7,7:20:36,7:28:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
7,7:28:12,7:43:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
7,7:43:02,7:50:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
8,7:24,7:26:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
8,7:26:36,7:34:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
8,7:34:12,7:49:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
8,7:49:02,7:56:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
9,7:33,7:35:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
9,7:35:36,7:43:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
9,7:43:12,7:58:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
9,7:58:02,8:05:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
10,7:39,7:41:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
10,7:41:36,7:49:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
10,7:49:12,8:04:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
10,8:04:02,8:11:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
11,7:48,7:50:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
11,7:50:36,7:58:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
11,7:58:12,8:13:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
11,8:13:02,8:20:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
12,7:54,7:56:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
12,7:56:36,8:04:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
12,8:04:12,8:19:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
12,8:19:02,8:26:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
13,8:03,8:05:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
13,8:05:36,8:13:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
13,8:13:12,8:28:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
13,8:28:02,8:35:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
14,8:09,8:11:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
14,8:11:36,8:19:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
14,8:19:12,8:34:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
14,8:34:02,8:41:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
15,8:18,8:20:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
15,8:20:36,8:28:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
15,8:28:12,8:43:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
15,8:43:02,8:50:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
16,8:24,8:26:36,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
16,8:26:36,8:34:12,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
16,8:34:12,8:49:02,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
16,8:49:02,8:56:45,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
