버스_id,출발시간,도착시간,출발정류장,도착정류장,lat_x,lon_x,lat_y,lon_y,type
1,6:36,6:42:50,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
1,6:42:50,6:54:26,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
1,6:54:26,7:08:07,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
1,7:08:07,7:15:50,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
2,6:42,6:48:50,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
2,6:48:50,7:00:26,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
2,7:00:26,7:14:07,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
2,7:14:07,7:21:50,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
3,6:51,6:57:50,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
3,6:57:50,7:09:26,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
3,7:09:26,7:23:07,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
3,7:23:07,7:30:50,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
4,6:57,7:03:50,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
4,7:03:50,7:15:26,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
4,7:15:26,7:29:07,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
4,7:29:07,7:36:50,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
5,7:06,7:12:50,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
5,7:12:50,7:24:26,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
