버스_id,출발시간,도착시간,출발정류장,도착정류장,lat_x,lon_x,lat_y,lon_y,type
1,6:33,6:35:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
1,6:35:37,6:42:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
1,6:42:41,6:54:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
1,6:54:04,7:00:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
2,6:39,6:41:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
2,6:41:37,6:48:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
2,6:48:41,7:00:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
2,7:00:04,7:06:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
3,6:48,6:50:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
3,6:50:37,6:57:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
3,6:57:41,7:09:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
3,7:09:04,7:15:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
4,6:54,6:56:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
4,6:56:37,7:03:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
4,7:03:41,7:15:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
4,7:15:04,7:21:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
5,7:03,7:05:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
5,7:05:37,7:12:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
5,7:12:41,7:24:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
5,7:24:04,7:30:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
6,7:09,7:11:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
6,7:11:37,7:18:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
6,7:18:41,7:30:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
6,7:30:04,7:36:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
7,7:18,7:20:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
7,7:20:37,7:27:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
7,7:27:41,7:39:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
7,7:39:04,7:45:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
8,7:24,7:26:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
8,7:26:37,7:33:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
8,7:33:41,7:45:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
8,7:45:04,7:51:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
9,7:33,7:35:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
9,7:35:37,7:42:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
9,7:42:41,7:54:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
9,7:54:04,8:00:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
10,7:39,7:41:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
10,7:41:37,7:48:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
10,7:48:41,8:00:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
10,8:00:04,8:06:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
11,7:48,7:50:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
11,7:50:37,7:57:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
11,7:57:41,8:09:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
11,8:09:04,8:15:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
12,7:54,7:56:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
12,7:56:37,8:03:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
12,8:03:41,8:15:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
12,8:15:04,8:21:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
13,8:03,8:05:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
13,8:05:37,8:12:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
13,8:12:41,8:24:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
13,8:24:04,8:30:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
14,8:09,8:11:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
14,8:11:37,8:18:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
14,8:18:41,8:30:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
14,8:30:04,8:36:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
15,8:18,8:20:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
15,8:20:37,8:27:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
15,8:27:41,8:39:04,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
15,8:39:04,8:45:33,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
16,8:24,8:26:37,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
16,8:26:37,8:33:41,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
