버스_id,출발시간,도착시간,출발정류장,도착정류장,lat_x,lon_x,lat_y,lon_y,type
1,6:36,6:42:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
1,6:42:24,6:53:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
1,6:53:11,6:58:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
1,6:58:36,7:05:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
2,6:42,6:48:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
2,6:48:24,6:59:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
2,6:59:11,7:04:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
2,7:04:36,7:11:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
3,6:51,6:57:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
3,6:57:24,7:08:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
3,7:08:11,7:13:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
3,7:13:36,7:20:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
4,6:57,7:03:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
4,7:03:24,7:14:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
4,7:14:11,7:19:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
4,7:19:36,7:26:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
5,7:06,7:12:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
5,7:12:24,7:23:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
5,7:23:11,7:28:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
5,7:28:36,7:35:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
6,7:12,7:18:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
6,7:18:24,7:29:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
6,7:29:11,7:34:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
6,7:34:36,7:41:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
7,7:21,7:27:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
7,7:27:24,7:38:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
7,7:38:11,7:43:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
7,7:43:36,7:50:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
8,7:27,7:33:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
8,7:33:24,7:44:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
8,7:44:11,7:49:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
8,7:49:36,7:56:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
9,7:36,7:42:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
9,7:42:24,7:53:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
9,7:53:11,7:58:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
9,7:58:36,8:05:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
10,7:42,7:48:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
10,7:48:24,7:59:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
10,7:59:11,8:04:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
10,8:04:36,8:11:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
11,7:51,7:57:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
11,7:57:24,8:08:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
11,8:08:11,8:13:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
11,8:13:36,8:20:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
12,7:57,8:03:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
12,8:03:24,8:14:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
12,8:14:11,8:19:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
12,8:19:36,8:26:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
13,8:06,8:12:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
13,8:12:24,8:23:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
13,8:23:11,8:28:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
13,8:28:36,8:35:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
14,8:12,8:18:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
14,8:18:24,8:29:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
14,8:29:11,8:34:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
14,8:34:36,8:41:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
15,8:21,8:27:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
15,8:27:24,8:38:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
15,8:38:11,8:43:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
15,8:43:36,8:50:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
16,8:27,8:33:24,걸포마루공원,사우역.김포고,37.632597,126.7035,37.621138,126.717114,1
16,8:33:24,8:44:11,사우역.김포고,고촌역,37.621138,126.717114,37.6004,126.770752,1
16,8:44:11,8:49:36,고촌역,개화역광역환승센터,37.6004,126.770752,37.578385,126.797538,1
16,8:49:36,8:56:05,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
