버스_id,출발시간,도착시간,출발정류장,도착정류장,lat_x,lon_x,lat_y,lon_y,type
1,6:33,6:34:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
1,6:34:30,6:40:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
1,6:40:16,6:51:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
1,6:51:45,6:57:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
2,6:39,6:40:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
2,6:40:30,6:46:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
2,6:46:16,6:57:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
2,6:57:45,7:03:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
3,6:48,6:49:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
3,6:49:30,6:55:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
3,6:55:16,7:06:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
3,7:06:45,7:12:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
4,6:54,6:55:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
4,6:55:30,7:01:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
4,7:01:16,7:12:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
4,7:12:45,7:18:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
5,7:03,7:04:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
5,7:04:30,7:10:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
5,7:10:16,7:21:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
5,7:21:45,7:27:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
6,7:09,7:10:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
6,7:10:30,7:16:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
6,7:16:16,7:27:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
6,7:27:45,7:33:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
7,7:18,7:19:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
7,7:19:30,7:25:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
7,7:25:16,7:36:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
7,7:36:45,7:42:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
8,7:24,7:25:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
8,7:25:30,7:31:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
8,7:31:16,7:42:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
8,7:42:45,7:48:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
9,7:33,7:34:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
9,7:34:30,7:40:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
9,7:40:16,7:51:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
9,7:51:45,7:57:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
10,7:39,7:40:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
10,7:40:30,7:46:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
10,7:46:16,7:57:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
10,7:57:45,8:03:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
11,7:48,7:49:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
11,7:49:30,7:55:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
11,7:55:16,8:06:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
11,8:06:45,8:12:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
12,7:54,7:55:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
12,7:55:30,8:01:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
12,8:01:16,8:12:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
12,8:12:45,8:18:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
13,8:03,8:04:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
13,8:04:30,8:10:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
13,8:10:16,8:21:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
13,8:21:45,8:27:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
14,8:09,8:10:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
14,8:10:30,8:16:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
14,8:16:16,8:27:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
14,8:27:45,8:33:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
15,8:18,8:19:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
15,8:19:30,8:25:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
15,8:25:16,8:36:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
15,8:36:45,8:42:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
16,8:24,8:25:30,걸포마루공원,걸포북변역.국민연금공단,37.632597,126.7035,37.631468,126.705672,1
16,8:25:30,8:31:16,걸포북변역.국민연금공단,풍무역,37.631468,126.705672,37.612075,126.732771,1
16,8:31:16,8:42:45,풍무역,개화역광역환승센터,37.612075,126.732771,37.578385,126.797538,1
16,8:42:45,8:48:17,개화역광역환승센터,롯데몰.김포공항역,37.578385,126.797538,37.56234,126.803093,1
