철도_id,출발시간,도착시간,출발정류장,도착정류장
1,05:29:00,05:32:00,장기,운양
1,05:32:00,05:36:00,운양,걸포북변
1,05:36:00,05:39:00,걸포북변,사우
1,05:39:00,05:41:00,사우,풍무
1,05:41:00,05:46:00,풍무,고촌
1,05:46:00,05:53:00,고촌,김포공항
2,05:26:00,05:28:00,양촌,구래
2,05:28:00,05:31:00,구래,마산
2,05:31:00,05:35:00,마산,장기
2,05:35:00,05:38:00,장기,운양
2,05:38:00,05:42:00,운양,걸포북변
2,05:42:00,05:45:00,걸포북변,사우
2,05:45:00,05:47:00,사우,풍무
2,05:47:00,05:52:00,풍무,고촌
2,05:52:00,05:59:00,고촌,김포공항
3,05:37:00,05:40:00,양촌,구래
3,05:40:00,05:43:00,구래,마산
3,05:43:00,05:47:00,마산,장기
3,05:47:00,05:49:00,장기,운양
3,05:49:00,05:54:00,운양,걸포북변
3,05:54:00,05:56:00,걸포북변,사우
3,05:56:00,05:59:00,사우,풍무
3,05:59:00,06:03:00,풍무,고촌
3,06:03:00,06:10:00,고촌,김포공항
4,05:45:00,05:48:00,양촌,구래
4,05:48:00,05:51:00,구래,마산
4,05:51:00,05:55:00,마산,장기
4,05:55:00,05:57:00,장기,운양
4,05:57:00,06:02:00,운양,걸포북변
4,06:02:00,06:04:00,걸포북변,사우
4,06:04:00,06:07:00,사우,풍무
4,06:07:00,06:11:00,풍무,고촌
4,06:11:00,06:18:00,고촌,김포공항
5,05:53:00,05:56:00,양촌,구래
5,05:56:00,05:59:00,구래,마산
5,05:59:00,06:03:00,마산,장기
5,06:03:00,06:05:00,장기,운양
5,06:05:00,06:10:00,운양,걸포북변
5,06:10:00,06:12:00,걸포북변,사우
5,06:12:00,06:15:00,사우,풍무
5,06:15:00,06:19:00,풍무,고촌
5,06:19:00,06:26:00,고촌,김포공항
6,06:01:00,06:04:00,양촌,구래
6,06:04:00,06:07:00,구래,마산
6,06:07:00,06:11:00,마산,장기
6,06:11:00,06:13:00,장기,운양
6,06:13:00,06:18:00,운양,걸포북변
6,06:18:00,06:20:00,걸포북변,사우
6,06:20:00,06:23:00,사우,풍무
6,06:23:00,06:27:00,풍무,고촌
6,06:27:00,06:34:00,고촌,김포공항
7,06:09:00,06:12:00,양촌,구래
7,06:12:00,06:15:00,구래,마산
7,06:15:00,06:19:00,마산,장기
7,06:19:00,06:21:00,장기,운양
7,06:21:00,06:26:00,운양,걸포북변
