철도_id,출발시간,도착시간,출발정류장,도착정류장
1,05:30:00,05:37:00,김포공항,고촌
1,05:37:00,05:41:00,고촌,풍무
1,05:41:00,05:44:00,풍무,사우
1,05:44:00,05:46:00,사우,걸포북변
1,05:46:00,05:51:00,걸포북변,운양
1,05:51:00,05:53:00,운양,장기
1,05:53:00,05:57:00,장기,마산
1,05:57:00,06:01:00,마산,구래
1,06:01:00,06:04:00,구래,양촌
2,05:40:00,05:47:00,김포공항,고촌
2,05:47:00,05:51:00,고촌,풍무
2,05:51:00,05:54:00,풍무,사우
2,05:54:00,05:57:00,사우,걸포북변
2,05:57:00,06:01:00,걸포북변,운양
2,06:01:00,06:03:00,운양,장기
2,06:03:00,06:07:00,장기,마산
2,06:07:00,06:11:00,마산,구래
2,06:11:00,06:14:00,구래,양촌
3,05:50:00,05:57:00,김포공항,고촌
3,05:57:00,06:01:00,고촌,풍무
3,06:01:00,06:04:00,풍무,사우
3,06:04:00,06:07:00,사우,걸포북변
3,06:07:00,06:11:00,걸포북변,운양
3,06:11:00,06:13:00,운양,장기
3,06:13:00,06:17:00,장기,마산
3,06:17:00,06:21:00,마산,구래
3,06:21:00,06:24:00,구래,양촌
4,05:59:00,06:06:00,김포공항,고촌
4,06:06:00,06:10:00,고촌,풍무
4,06:10:00,06:13:00,풍무,사우
4,06:13:00,06:16:00,사우,걸포북변
4,06:16:00,06:20:00,걸포북변,운양
4,06:20:00,06:22:00,운양,장기
4,06:22:00,06:26:00,장기,마산
4,06:26:00,06:30:00,마산,구래
4,06:30:00,06:33:00,구래,양촌
5,06:07:00,06:14:00,김포공항,고촌
5,06:14:00,06:18:00,고촌,풍무
5,06:18:00,06:21:00,풍무,사우
5,06:21:00,06:24:00,사우,걸포북변
5,06:24:00,06:28:00,걸포북변,운양
5,06:28:00,06:30:00,운양,장기
5,06:30:00,06:34:00,장기,마산
5,06:34:00,06:38:00,마산,구래
5,06:38:00,06:41:00,구래,양촌
6,06:15:00,06:22:00,김포공항,고촌
6,06:22:00,06:26:00,고촌,풍무
6,06:26:00,06:29:00,풍무,사우
6,06:29:00,06:32:00,사우,걸포북변
6,06:32:00,06:36:00,걸포북변,운양
6,06:36:00,06:38:00,운양,장기
6,06:38:00,06:42:00,장기,마산
6,06:42:00,06:46:00,마산,구래
6,06:46:00,06:49:00,구래,양촌
7,06:23:00,06:30:00,김포공항,고촌
7,06:30:00,06:34:00,고촌,풍무
7,06:34:00,06:37:00,풍무,사우
7,06:37:00,06:40:00,사우,걸포북변
7,06:40:00,06:44:00,걸포북변,운양
7,06:44:00,06:46:00,운양,장기
7,06:46:00,06:50:00,장기,마산
7,06:50:00,06:54:00,마산,구래
7,06:54:00,06:57:00,구래,양촌
